"ID","Category","Title","Language","Session","Duration","YouTube_Link","Drive_Link","Description"
"1001","gurudev","Guru Dev Discourse — Session 1","Hindi","","","","https://drive.google.com/drive/folders/1ErzKLDkJZ63wbay4lpn9AKakPFUw7LXx","Opening discourse by Guru Dev for Session 1"
"1002","gurudev","Guru Dev Discourse — Session 1","English","","","","https://drive.google.com/drive/folders/12qPBpXoYQe1_L9a34kJwDq8Y_Tsp88To","Opening discourse by Guru Dev for Session 1 (English)"
"1003","gurudev","Guru Dev Discourse — Session 2","Hindi","","","","https://drive.google.com/drive/folders/1OsLKFrXeOK_VjFeRUqgLPBhQsC9J9wIf",""
"1004","gurudev","Guru Dev Discourse — Session 2","English","","","","https://drive.google.com/drive/folders/1Mvyl1XIhZtF0Ysw9vO-i0MiDui06WSrj",""
"1005","gurudev","Guru Dev Discourse — Session 3","Hindi","","","","https://drive.google.com/drive/folders/1n2NZhvOQeog9MRTabI3BvBrdr4K9u6PR",""
"1006","gurudev","Guru Dev Discourse — Session 3","English","","","","https://drive.google.com/drive/folders/1Cu4LqcYqG7-6VzoijC9hNb_UnWppDhMu",""
"1007","gurudev","Guru Dev Discourse — Session 4","Hindi","","","","https://drive.google.com/drive/folders/1Y6XehFbxUlhXIBhOMzLjBqNW8h01_Ep-",""
"1008","gurudev","Guru Dev Discourse — Session 4","English","","","","https://drive.google.com/drive/folders/1aZlUQeysP6qQcdWLwjuUe1kD1TEOkY1q",""
"1009","gurudev","Guru Dev Discourse — Session 5","Hindi","","","","https://drive.google.com/drive/folders/1-tCzm32RfkHn3FxXJP1isS1k9LMtaMl-",""
"1010","gurudev","Guru Dev Discourse — Session 5","English","","","","https://drive.google.com/drive/folders/1W7LYNA-fNYfvmpHCrlfdIr-utDZorGb8",""
"2001","pns","Panchakshari Naad Sadhna — Full Practice","Hindi","General","","","https://drive.google.com/file/d/12HPDj167T0JkVrKFUrdcpMD0fgrSJKp3/view","Core PNS practice recording in Hindi"
"2002","pns","Panchakshari Naad Sadhna — Full Practice","English","General","","","https://drive.google.com/file/d/1ezTmD9BOANG4WOUugSL2MP4ciaElUbfX/view","Core PNS practice recording in English"
"3001","initiation","Initiation by Guru Dev","Hindi","General","100","https://www.youtube.com/watch?v=qg86Ikt6TPM&t=33s","https://sites.google.com/view/pns2026-initiation/initiation-with-gurudev-sri-anish","Initiation recording provided by Guru Dev — Hindi"
"3002","initiation","Initiation by Guru Dev","English","General","104","https://www.youtube.com/watch?v=DxHiF2uoTzU&t=3s","https://sites.google.com/view/pns2026-initiation/initiation-with-gurudev-sri-anish","Initiation recording provided by Guru Dev — English"
"4001","culmination","Culmination Ceremony — Mahashivratri","Hindi","General","55","https://www.youtube.com/watch?v=7nNRx_bvb5Y","","Culmination recording — completion of 42-day Mandala Kaal (Hindi)"
"4002","culmination","Culmination Ceremony — Mahashivratri","English","General","57","https://www.youtube.com/watch?v=sciVZIZsCKo","","Culmination recording — completion of 42-day Mandala Kaal (English)"
